Designator,Mid X,Mid Y,Rotation,Layer
_250,297.255628,-115.757513,0.0,top
_249,297.812967,-133.327742,0.0,top
_248,288.905939,-149.465502,0.0,top
_247,302.266637,-129.575077,0.0,top
_246,280.693458,-130.282906,0.0,top
_245,284.658945,-124.536079,0.0,top
_244,288.276987,-145.60635,0.0,top
_243,295.829892,-150.001676,0.0,top
_242,268.542833,-143.81458,0.0,top
_241,302.594507,-122.157521,0.0,top
_240,263.761001,-142.070499,0.0,top
_239,281.95317,-146.472389,0.0,top
_238,298.96599,-129.638907,0.0,top
_237,282.382156,-135.372072,0.0,top
_236,306.756836,-136.031354,0.0,top
_235,285.186049,-143.992161,0.0,top
_234,271.137427,-153.58454,0.0,top
_233,293.49161,-125.927867,0.0,top
_232,286.82973,-116.607684,0.0,top
_231,283.180294,-140.987709,0.0,top
_230,270.713048,-132.14072,0.0,top
_229,297.577002,-121.265597,0.0,top
_228,301.363689,-133.952348,0.0,top
_227,306.168685,-132.86009,0.0,top
_226,279.566304,-140.04916,0.0,top
_225,294.072231,-154.83387,0.0,top
_224,264.518169,-129.421978,0.0,top
_223,273.5201,-118.326081,0.0,top
_222,268.02115,-122.924064,0.0,top
_221,305.134361,-129.896492,0.0,top
_220,277.448342,-155.155987,0.0,top
_219,280.806762,-123.885493,0.0,top
_218,276.825332,-128.997585,0.0,top
_217,302.916346,-147.073707,0.0,top
_216,273.087888,-135.557505,0.0,top
_215,304.647264,-137.832812,0.0,top
_214,269.897716,-127.705113,0.0,top
_213,296.377641,-142.604882,0.0,top
_212,270.690022,-145.350968,0.0,top
_211,270.303243,-148.120866,0.0,top
_210,286.849337,-147.19588,0.0,top
_209,290.207799,-119.160416,0.0,top
_208,299.379449,-137.636281,0.0,top
_207,265.681363,-144.484633,0.0,top
_206,278.578904,-121.189389,0.0,top
_205,270.073803,-115.216734,0.0,top
_204,283.447952,-126.225346,0.0,top
_203,304.272743,-134.875142,0.0,top
_202,283.48327,-132.591812,0.0,top
_201,288.219233,-113.926433,0.0,top
_200,284.0,-134.0,0.0,top
_199,292.818483,-143.886068,0.0,top
_198,285.697201,-156.585825,0.0,top
_197,280.598042,-150.075655,0.0,top
_196,293.817855,-152.134489,0.0,top
_195,282.599848,-115.018704,0.0,top
_194,283.594464,-154.780653,0.0,top
_193,280.476562,-113.243425,0.0,top
_192,294.488947,-134.481633,0.0,top
_191,302.027066,-142.01716,0.0,top
_190,265.318893,-123.511136,0.0,top
_189,292.95983,-133.15062,0.0,top
_188,299.557325,-140.080264,0.0,top
_187,289.476852,-116.400167,0.0,top
_186,273.160423,-125.678126,0.0,top
_185,286.839094,-150.865335,0.0,top
_184,267.756487,-149.277378,0.0,top
_183,286.494684,-130.913489,0.0,top
_182,300.194139,-147.619832,0.0,top
_181,294.978058,-117.334699,0.0,top
_180,288.182225,-122.554084,0.0,top
_179,300.242279,-120.109775,0.0,top
_178,271.76042,-138.841764,0.0,top
_177,298.786755,-135.36083,0.0,top
_176,301.361828,-150.017706,0.0,top
_175,269.792487,-141.238548,0.0,top
_174,300.331238,-131.646142,0.0,top
_173,277.951271,-117.654881,0.0,top
_172,271.958024,-120.537428,0.0,top
_171,267.88543,-146.512819,0.0,top
_170,296.531693,-152.687072,0.0,top
_169,300.12268,-117.332391,0.0,top
_168,275.480519,-149.997451,0.0,top
_167,276.132022,-119.419364,0.0,top
_166,266.634863,-137.346944,0.0,top
_165,264.956861,-139.577533,0.0,top
_164,277.997021,-144.060529,0.0,top
_163,294.662005,-147.117607,0.0,top
_162,285.049955,-148.505088,0.0,top
_161,284.473014,-151.931153,0.0,top
_160,295.606663,-136.187546,0.0,top
_159,267.31405,-125.613754,0.0,top
_158,269.186476,-120.295638,0.0,top
_157,303.699501,-127.204439,0.0,top
_156,266.436318,-120.592275,0.0,top
_155,279.087112,-137.100569,0.0,top
_154,271.721982,-134.016847,0.0,top
_153,279.932324,-127.880031,0.0,top
_152,270.800118,-117.80546,0.0,top
_151,264.681508,-126.4803,0.0,top
_150,294.716715,-122.981741,0.0,top
_149,281.742871,-142.58227,0.0,top
_148,273.782107,-143.55744,0.0,top
_147,290.996159,-132.325558,0.0,top
_146,288.701147,-155.486023,0.0,top
_145,289.757478,-141.832715,0.0,top
_144,291.348958,-136.119624,0.0,top
_143,286.260161,-135.281276,0.0,top
_142,286.27553,-123.319552,0.0,top
_141,277.866707,-130.896336,0.0,top
_140,274.775162,-136.674391,0.0,top
_139,292.548744,-137.830009,0.0,top
_138,298.587328,-145.167356,0.0,top
_137,282.822945,-128.512328,0.0,top
_136,278.085379,-150.256299,0.0,top
_135,288.992495,-152.670163,0.0,top
_134,286.169486,-142.203251,0.0,top
_133,297.325879,-127.985772,0.0,top
_132,296.303316,-138.168742,0.0,top
_131,297.678432,-118.495146,0.0,top
_130,294.902143,-130.272632,0.0,top
_129,280.580174,-155.202707,0.0,top
_128,290.283004,-122.241009,0.0,top
_127,298.912028,-125.492274,0.0,top
_126,291.937005,-145.906046,0.0,top
_125,293.23385,-141.809353,0.0,top
_124,277.402877,-123.012371,0.0,top
_123,282.478198,-157.236482,0.0,top
_122,274.274596,-154.619566,0.0,top
_121,280.062499,-125.769198,0.0,top
_120,294.263739,-114.663359,0.0,top
_119,270.095607,-130.01028,0.0,top
_118,276.216101,-152.679157,0.0,top
_117,277.661222,-147.344283,0.0,top
_116,267.062973,-128.287109,0.0,top
_115,283.673101,-120.927389,0.0,top
_114,280.124007,-116.168099,0.0,top
_113,276.76095,-137.255174,0.0,top
_112,289.647913,-139.775038,0.0,top
_111,289.269366,-143.797131,0.0,top
_110,270.165165,-137.331269,0.0,top
_109,301.918884,-124.839563,0.0,top
_108,285.853866,-128.09973,0.0,top
_107,273.457875,-129.86314,0.0,top
_106,283.396971,-112.271301,0.0,top
_105,282.039695,-122.25661,0.0,top
_104,262.734009,-134.087541,0.0,top
_103,278.054833,-111.888803,0.0,top
_102,291.225613,-114.055313,0.0,top
_101,261.020027,-136.273953,0.0,top
_100,287.8331,-119.343692,0.0,top
_99,286.420182,-153.922166,0.0,top
_98,304.557329,-140.902622,0.0,top
_97,268.075457,-139.468906,0.0,top
_96,286.518148,-111.742216,0.0,top
_95,281.868298,-152.613324,0.0,top
_94,263.647439,-136.961972,0.0,top
_93,266.609096,-141.877593,0.0,top
_92,273.709578,-123.506801,0.0,top
_91,284.350222,-117.233147,0.0,top
_90,293.074617,-112.139045,0.0,top
_89,299.297225,-142.616547,0.0,top
_88,271.719136,-142.612804,0.0,top
_87,275.273203,-113.534345,0.0,top
_86,279.897084,-147.121207,0.0,top
_85,295.476818,-126.734833,0.0,top
_84,304.663883,-124.605645,0.0,top
_83,301.344861,-144.846924,0.0,top
_82,285.887012,-137.152647,0.0,top
_81,264.810826,-132.260563,0.0,top
_80,268.027479,-117.801895,0.0,top
_79,267.253721,-130.867562,0.0,top
_78,291.426425,-153.983698,0.0,top
_77,265.529871,-134.92432,0.0,top
_76,273.316451,-152.016986,0.0,top
_75,302.014491,-136.495618,0.0,top
_74,293.156892,-149.203661,0.0,top
_73,270.13836,-125.304889,0.0,top
_72,281.544963,-138.579606,0.0,top
_71,275.684555,-133.223218,0.0,top
_70,284.10632,-138.498743,0.0,top
_69,270.826037,-122.889342,0.0,top
_68,302.244883,-139.208092,0.0,top
_67,281.130761,-110.649037,0.0,top
_66,293.071118,-129.394046,0.0,top
_65,263.024224,-144.7595,0.0,top
_64,303.465176,-132.100815,0.0,top
_63,288.754174,-137.660303,0.0,top
_62,296.563955,-140.336168,0.0,top
_61,285.320166,-114.257731,0.0,top
_60,272.860554,-149.286031,0.0,top
_59,272.84018,-115.528171,0.0,top
_58,293.155212,-139.760389,0.0,top
_57,267.860508,-133.281095,0.0,top
_56,290.620334,-147.790256,0.0,top
_55,276.683919,-124.973651,0.0,top
_54,291.061601,-129.062005,0.0,top
_53,262.259791,-127.826399,0.0,top
_52,295.741388,-144.89219,0.0,top
_51,273.073899,-127.825834,0.0,top
_50,262.260359,-131.018718,0.0,top
_49,298.583003,-150.258413,0.0,top
_48,300.728853,-127.355795,0.0,top
_47,289.769302,-111.690469,0.0,top
_46,275.327615,-147.125918,0.0,top
_45,280.164283,-119.576502,0.0,top
_44,291.449048,-125.602876,0.0,top
_43,274.707544,-121.394434,0.0,top
_42,297.427593,-147.654659,0.0,top
_41,295.158284,-120.116819,0.0,top
_40,286.539824,-140.024889,0.0,top
_39,292.48937,-122.384037,0.0,top
_38,285.629412,-119.94315,0.0,top
_37,306.863483,-139.339579,0.0,top
_36,288.905387,-129.424284,0.0,top
_35,303.982993,-144.008994,0.0,top
_34,279.983625,-132.632981,0.0,top
_33,282.107234,-118.238736,0.0,top
_32,306.384747,-127.41038,0.0,top
_31,262.188375,-139.315358,0.0,top
_30,296.501193,-131.608314,0.0,top
_29,275.902627,-144.046519,0.0,top
_28,279.091955,-152.87223,0.0,top
_27,276.470565,-126.995885,0.0,top
_26,292.675741,-119.414681,0.0,top
_25,277.543893,-140.619568,0.0,top
_24,291.254191,-151.077081,0.0,top
_23,275.521075,-140.54659,0.0,top
_22,282.943505,-149.48011,0.0,top
_21,283.745765,-145.42083,0.0,top
_20,289.433466,-125.800766,0.0,top
_19,280.704784,-134.625743,0.0,top
_18,287.535351,-126.583714,0.0,top
_17,289.355107,-134.756848,0.0,top
_16,275.48665,-116.328755,0.0,top
_15,265.250118,-147.226562,0.0,top
_14,284.489889,-131.040268,0.0,top
_13,299.855085,-122.848037,0.0,top
_12,272.977334,-146.459969,0.0,top
_11,270.470646,-150.880657,0.0,top
_10,277.821084,-114.613896,0.0,top
_9,268.846595,-135.457504,0.0,top
_8,273.56889,-139.93228,0.0,top
_7,279.976248,-143.581723,0.0,top
_6,262.754244,-124.586292,0.0,top
_5,292.218353,-116.637434,0.0,top
_4,288.413228,-132.261203,0.0,top
_3,277.643144,-134.300636,0.0,top
_2,296.88356,-124.024336,0.0,top
,274.320246,-131.697312,0.0,top
